"Year","OTHER","RAIN_HAIL","SUMMER_HEAT","TORNADO","WIND_STORM","WINTER_SNOW"
"1950",NA,NA,NA,23,NA,NA
"1951",NA,NA,NA,17,NA,NA
"1952",NA,NA,NA,36,NA,NA
"1953",NA,NA,NA,53,NA,NA
"1954",NA,NA,NA,21,NA,NA
"1955",NA,0,NA,22,0,NA
"1956",NA,0,NA,20,0,NA
"1957",NA,0,NA,51,0,NA
"1958",NA,0,NA,21,0,NA
"1959",NA,0,NA,16,0,NA
"1960",NA,0,NA,17,0,NA
"1961",NA,0,NA,21,0,NA
"1962",NA,0,NA,10,0,NA
"1963",NA,0,NA,17,0,NA
"1964",NA,0,NA,18,0,NA
"1965",NA,0,NA,57,0,NA
"1966",NA,0,NA,12,0,NA
"1967",NA,0,NA,30,0,NA
"1968",NA,0,NA,28,0,NA
"1969",NA,0,NA,15,0,NA
"1970",NA,0,NA,23,0,NA
"1971",NA,0,NA,31,0,NA
"1972",NA,0,NA,12,0,NA
"1973",NA,0,NA,42,0,NA
"1974",NA,0,NA,98,0,NA
"1975",NA,0,NA,30,0,NA
"1976",NA,0,NA,29,0,NA
"1977",NA,0,NA,15,0,NA
"1978",NA,0,NA,19,0,NA
"1979",NA,0,NA,21,0,NA
"1980",NA,0,NA,20,0,NA
"1981",NA,0,NA,14,0,NA
"1982",NA,0,NA,33,0,NA
"1983",NA,0,NA,27,3,NA
"1984",NA,0,NA,41,24,NA
"1985",NA,0,NA,25,14,NA
"1986",NA,0,NA,11,23,NA
"1987",NA,0,NA,15,24,NA
"1988",NA,0,NA,20,19,NA
"1989",NA,0,NA,13,25,NA
"1990",NA,0,NA,18,27,NA
"1991",NA,1,NA,16,25,NA
"1992",NA,1,NA,19,10,NA
"1993",17,39,12,14,61,29
"1994",19,43,16,17,78,26
"1995",35,46,95,16,117,43
"1996",49,83,44,14,92,84
"1997",37,74,44,23,98,61
"1998",32,67,93,35,94,43
"1999",41,45,99,34,89,32
"2000",41,30,88,14,97,50
"2001",66,36,77,24,71,24
"2002",65,35,57,28,83,30
"2003",49,51,41,23,75,45
"2004",38,58,32,19,71,47
"2005",49,33,62,13,55,28
"2006",51,54,51,26,90,17
"2007",70,60,35,26,73,24
"2008",66,65,31,51,73,37
"2009",60,46,33,9,67,40
"2010",71,65,51,24,57,27
"2011",50,87,48,96,86,29
