"Year","OTHER","RAIN_HAIL","SUMMER_HEAT","TORNADO","WIND_STORM","WINTER_SNOW"
"1950",NA,NA,NA,75,NA,NA
"1951",NA,NA,NA,63,NA,NA
"1952",NA,NA,NA,106,NA,NA
"1953",NA,NA,NA,151,NA,NA
"1954",NA,NA,NA,114,NA,NA
"1955",NA,0,NA,97,0,NA
"1956",NA,0,NA,116,0,NA
"1957",NA,0,NA,172,0,NA
"1958",NA,0,NA,100,0,NA
"1959",NA,0,NA,81,0,NA
"1960",NA,0,NA,96,0,NA
"1961",NA,0,NA,158,0,NA
"1962",NA,0,NA,76,0,NA
"1963",NA,0,NA,76,0,NA
"1964",NA,0,NA,137,0,NA
"1965",NA,0,NA,187,0,NA
"1966",NA,0,NA,88,0,NA
"1967",NA,0,NA,163,0,NA
"1968",NA,0,NA,132,0,NA
"1969",NA,0,NA,104,0,NA
"1970",NA,0,NA,133,0,NA
"1971",NA,0,NA,179,0,NA
"1972",NA,0,NA,137,0,NA
"1973",NA,0,NA,264,0,NA
"1974",NA,0,NA,300,0,NA
"1975",NA,0,NA,166,0,NA
"1976",NA,0,NA,148,0,NA
"1977",NA,0,NA,139,0,NA
"1978",NA,0,NA,105,0,NA
"1979",NA,0,NA,129,0,NA
"1980",NA,0,NA,143,0,NA
"1981",NA,0,NA,101,0,NA
"1982",NA,0,NA,157,0,NA
"1983",NA,0,NA,147,23,NA
"1984",NA,9,NA,166,101,NA
"1985",NA,4,NA,89,80,NA
"1986",NA,10,NA,97,106,NA
"1987",NA,9,NA,60,124,NA
"1988",NA,6,NA,90,123,NA
"1989",NA,12,NA,116,174,NA
"1990",NA,5,NA,137,177,NA
"1991",NA,4,NA,103,174,NA
"1992",NA,18,NA,158,96,NA
"1993",8,22,10,62,168,25
"1994",8,41,15,95,416,29
"1995",19,51,40,120,436,37
"1996",27,60,34,116,357,45
"1997",26,57,45,115,400,54
"1998",35,98,45,168,449,69
"1999",22,56,42,140,365,84
"2000",29,32,29,86,382,71
"2001",40,54,25,120,376,43
"2002",36,51,19,95,306,50
"2003",44,48,24,103,303,38
"2004",34,25,27,96,263,21
"2005",31,26,27,62,259,21
"2006",46,25,29,120,289,14
"2007",39,24,15,98,207,13
"2008",34,32,20,161,263,16
"2009",43,31,11,84,250,19
"2010",61,33,13,101,258,7
"2011",73,25,20,212,297,3
