"Year","OTHER","RAIN_HAIL","SUMMER_HEAT","TORNADO","WIND_STORM","WINTER_SNOW"
"1950",NA,NA,NA,195,NA,NA
"1951",NA,NA,NA,230,NA,NA
"1952",NA,NA,NA,225,NA,NA
"1953",NA,NA,NA,404,NA,NA
"1954",NA,NA,NA,482,NA,NA
"1955",NA,0,NA,433,0,NA
"1956",NA,0,NA,423,0,NA
"1957",NA,0,NA,818,0,NA
"1958",NA,0,NA,539,0,NA
"1959",NA,0,NA,502,0,NA
"1960",NA,0,NA,552,0,NA
"1961",NA,0,NA,620,0,NA
"1962",NA,0,NA,401,0,NA
"1963",NA,0,NA,371,0,NA
"1964",NA,0,NA,590,0,NA
"1965",NA,0,NA,708,0,NA
"1966",NA,0,NA,418,0,NA
"1967",NA,0,NA,678,0,NA
"1968",NA,0,NA,513,0,NA
"1969",NA,0,NA,456,0,NA
"1970",NA,0,NA,503,0,NA
"1971",NA,0,NA,696,0,NA
"1972",NA,0,NA,573,0,NA
"1973",NA,0,NA,1009,0,NA
"1974",NA,0,NA,821,0,NA
"1975",NA,0,NA,743,0,NA
"1976",NA,0,NA,703,0,NA
"1977",NA,0,NA,691,0,NA
"1978",NA,0,NA,614,0,NA
"1979",NA,0,NA,647,0,NA
"1980",NA,0,NA,723,0,NA
"1981",NA,0,NA,575,0,NA
"1982",NA,0,NA,1128,0,NA
"1983",NA,0,NA,994,0,NA
"1984",NA,0,NA,796,0,NA
"1985",NA,0,NA,473,0,NA
"1986",NA,0,NA,556,0,NA
"1987",NA,0,NA,412,0,NA
"1988",NA,0,NA,535,0,NA
"1989",NA,0,NA,584,0,NA
"1990",NA,0,NA,780,0,NA
"1991",NA,0,NA,678,0,NA
"1992",NA,0,NA,860,0,NA
"1993",47,1802,134,387,3059,122
"1994",38,2388,155,532,5786,129
"1995",35,2347,181,630,6063,128
"1996",46,2535,146,596,5710,256
"1997",40,2375,133,583,6146,178
"1998",23,3538,101,838,8302,227
"1999",26,1978,86,753,6680,285
"2000",29,2453,102,526,7091,309
"2001",26,2522,71,679,5852,157
"2002",14,2369,73,528,6538,236
"2003",89,3133,221,678,6057,174
"2004",53,2963,153,853,5591,132
"2005",103,2606,181,587,5711,253
"2006",129,3017,98,609,7301,184
"2007",94,3060,106,631,7056,384
"2008",91,4533,132,1105,10655,461
"2009",172,3697,126,734,8800,201
"2010",134,3624,127,713,10437,260
"2011",339,4305,141,1435,13333,350
